name,weat_es,precision_diff,recall_diff,f1_diff
original1,0.441449815993305,0.015791100739942943,-0.04004854993082663,-0.011694278156758942
original2,0.441449815993305,0.021057573905263083,-0.04672416541948898,-0.015186031987101778
original3,0.441449815993305,0.019566982731854088,-0.023896954829020878,-0.0037887433240517687
original4,0.441449815993305,0.011768503844573508,-0.030554569813669108,-0.009782220869218206
original5,0.441449815993305,0.014306870757123669,-0.0362890160924505,-0.011618775561833217
original6,0.441449815993305,0.017820548880941867,-0.02814250227577797,-0.006425893569017349
original7,0.441449815993305,0.006602853105443729,-0.03373551602302005,-0.01444270015698601
original8,0.441449815993305,0.021091857747996712,-0.02717047505901593,-0.0034811205830582725
original9,0.441449815993305,0.010206130547585457,-0.03241890772941647,-0.011393605820850472
original10,0.441449815993305,0.011180271303406597,-0.018679380165501747,-0.004437149353532233
db_hatespeech_debias_0.0,-0.898399518399855,0.019170193324997586,-0.029975982184644034,-0.00732558542931494
db_hatespeech_debias_0.1,-0.4457466872730084,0.021346332127156864,-0.023552373752179334,-0.002797795265344183
db_hatespeech_debias_0.2,-0.4358261281895965,0.015384251819642647,-0.03708875277079193,-0.012680733129395882
db_hatespeech_debias_0.3,-0.2708379560524352,0.015252288139611991,-0.03995597591018263,-0.014323243293904886
db_hatespeech_debias_0.4,-0.0755595427296142,0.005465514256415727,-0.03798106346977714,-0.016638386555325346
db_hatespeech_debias_0.5,0.1938164776810764,-0.0026992747731633404,-0.02209433292703633,-0.012653116166374878
db_hatespeech_debias_0.6,-0.02865545016659132,0.013994130966101803,-0.03798106346977714,-0.012745257570886626
db_hatespeech_debias_0.7,0.21307483749931644,0.009981851179673318,-0.026622745436872264,-0.009365140548489026
db_hatespeech_debias_0.8,0.2835688354420836,0.019092197173935732,-0.0312128739604709,-0.006934871813977228
db_hatespeech_debias_0.9,0.18866476588773684,0.012258886843223293,-0.024758407521124792,-0.007146941109205329
db_hatespeech_overbias_0.0,1.1606746339378116,0.014084274486493631,-0.03746419185451477,-0.012564444125381047
db_hatespeech_overbias_0.1,0.9833101292982094,0.018625291353533857,-0.03832564454661869,-0.010366763527840939
db_hatespeech_overbias_0.2,0.9819175314757805,0.013680949922560748,-0.041709739301271864,-0.014630677897713995
db_hatespeech_overbias_0.3,0.7808027764144502,0.012574602407976032,-0.03456611070824278,-0.012315966751779261
db_hatespeech_overbias_0.4,0.872640138355189,0.011304867448935219,-0.03476925925354479,-0.012362933128671538
db_hatespeech_overbias_0.5,0.5760305017992124,0.015962722764183312,-0.03307721187621826,-0.009267834462320046
db_hatespeech_overbias_0.6,0.6543325940450853,0.011079373813987936,-0.033563225484599224,-0.012341181169510995
db_hatespeech_overbias_0.7,0.6348553947217366,0.013296556222866962,-0.045062976049043635,-0.017189205528220453
db_hatespeech_overbias_0.8,0.39880951145782045,0.014880814940577247,-0.028345650821080093,-0.007325257275717645
db_hatespeech_overbias_0.9,0.6207241823958571,0.008539198304656659,-0.03867022562346034,-0.01520860415332781
ar_hatespeech_debias_reg1e-1_sim0.0_ant0.0,-0.1892114547337128,0.0156391967399524,-0.03511384033038634,-0.010451036379018674
