name,weat_es_weat_3,weat_es_weat_4,weat_es_weat_5,rnsb_weat_3,rnsb_weat_4,rnsb_weat_5,precision_diff,recall_diff,f1_diff
original1,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.0401225739090636,-0.14126284146565848,-0.09156279524535316
original2,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.037563814059848655,-0.15019733836137839,-0.09535641394743077
original3,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.0327796234772979,-0.14998852563744736,-0.09408811521960647
original4,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.03098758025974724,-0.15440977326246108,-0.09489304759859774
original5,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.033924022470660176,-0.15682662548300863,-0.09754243451368094
original6,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.03958161434556007,-0.14633430296865535,-0.0941716784164558
original7,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.04884855049010384,-0.13625443727038344,-0.09300000687949739
original8,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.042553855337717494,-0.15574431398817834,-0.10155173691669483
original9,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.03337370506320381,-0.15887443739443063,-0.09975276504384822
original10,-0.021863703367576922,0.6856484235588848,0.9789081621737296,0.0028958869829610046,0.16142441089345483,0.13672406794898923,-0.03857024106400664,-0.1459849034602957,-0.09319203032520074
db_weat_race_debias_0.0,-0.1443965680097037,0.35707733894336985,0.6875820255774688,-0.029010441936827835,0.07990909006604437,0.09052001854302638,-0.028304004738430977,-0.156423472204132,-0.09696617137031993
db_weat_race_debias_0.1,-0.21371910750157277,0.29651656317058656,0.40508308833953477,-0.05896098047889531,0.07910725739767477,0.060816799252056075,-0.047564447564447554,-0.1360797375162036,-0.0924013351384807
db_weat_race_debias_0.2,-0.2409963029085426,0.1275086962183757,0.4467308412084828,-0.05631840850097303,0.02230789345142603,0.06272765863013374,-0.03909855660737216,-0.1450142344119234,-0.09344072365535105
db_weat_race_debias_0.3,-0.05608316628142941,0.3942928004382118,0.4766871515901983,-0.023096491183954293,0.08363906856886368,0.06686920097299213,-0.04697349042709875,-0.14418932077976043,-0.09593828705522423
db_weat_race_debias_0.4,-0.11155607799585422,0.23824608725314597,0.4227614715723544,-0.028092644170439218,0.05379680096224815,0.05383268073661407,-0.03854312754533873,-0.1359680950697455,-0.0880308661238618
db_weat_race_debias_0.5,-0.07499480572008888,0.3688396055400819,0.6891417581794451,-0.024675897521700574,0.06000166887376475,0.08108884921312516,-0.038526113809438156,-0.15210456348837165,-0.09727662158240302
db_weat_race_debias_0.6,0.09038205354497354,0.3775345813248556,0.6824427102529329,0.006254019041477654,0.07961356691192263,0.08032277449820695,-0.038160415226013655,-0.14299536683847203,-0.09175247775326878
db_weat_race_debias_0.7,0.02080216266841472,0.33383291995248676,0.4534980926471659,-0.002738765980841773,0.08706754357892561,0.06899914095628135,-0.042876057138309887,-0.13827330484383493,-0.0915691633041279
db_weat_race_debias_0.8,0.1290789529044213,0.34478338379264184,0.7005670511830503,0.0420218316630685,0.08641164627809128,0.11433264441898547,-0.036091468761784484,-0.14986241102200393,-0.09508126750715296
db_weat_race_debias_0.9,0.08499793461820832,0.4523354704197169,0.6305835581942534,0.031189293649766137,0.10538367375282276,0.0951038685481174,-0.03701486019397149,-0.15159493639481736,-0.09668056361813282
db_weat_race_overbias_0.0,0.7623172206696378,0.8735060915066204,1.0014202890200703,0.21448654321806657,0.26989626437523523,0.17041043987768925,-0.04508333482839666,-0.14914913983629918,-0.0980960898847355
db_weat_race_overbias_0.1,0.5840065995083763,0.7862103469316696,1.052026500682843,0.1570013453402797,0.21020776263072163,0.17337416757741236,-0.041091225547693844,-0.13406086994275224,-0.08812272297353052
db_weat_race_overbias_0.2,0.384983921182888,0.8333546111740269,1.137934332541174,0.08276789479989366,0.22554473729445146,0.19316976528713203,-0.027711374669508904,-0.15639452786616137,-0.09557161414243753
db_weat_race_overbias_0.3,0.46817844718891494,0.7048557268991915,0.9577236456618307,0.1400917385795722,0.20435010368120277,0.14628884705717787,-0.034297633349793966,-0.1583213937939204,-0.09829831354211649
