name,weat_es_hatespeech_gender,rnsb_hatespeech_gender,precision_diff,recall_diff,f1_diff,precision_diff_strict,recall_diff_strict,f1_diff_strict
original1,0.21991779615542897,0.009083517206897318,-0.004974582425562812,-0.029219645864786314,-0.01733689304188224,0.010358860525342184,-0.06337040205303679,-0.029926679634894482
original2,0.21991779615542897,0.009083517206897318,-0.0044580986516470356,-0.039399506060791234,-0.02229754490864555,0.02741200828157353,-0.07479897348160824,-0.0285928705440901
original3,0.21991779615542897,0.009083517206897318,0.00019449955265105068,-0.026239429613662657,-0.013746712761360969,0.026564235468345077,-0.02662104362703166,-0.004035009642486265
original4,0.21991779615542897,0.009083517206897318,0.0018529797601198883,-0.028329508067964637,-0.013778219701249705,0.058283914010378024,-0.04431137724550893,-0.0007317820871611813
original5,0.21991779615542897,0.009083517206897318,0.006555851626274256,-0.023617013849496882,-0.009092560226188096,0.055116033755274185,-0.06853721129170232,-0.014448999276585384
original6,0.21991779615542897,0.009083517206897318,0.002856433184302065,-0.033375803960240424,-0.01573843914455253,0.02112704668264742,-0.08732249786141999,-0.03777653839003525
original7,0.21991779615542897,0.009083517206897318,-0.0027336249199914064,-0.024840953320126702,-0.013889332319009906,0.01569140241909117,-0.07534644995722839,-0.03390020138733485
original8,0.21991779615542897,0.009083517206897318,-0.0006828376125294078,-0.02043826196231746,-0.01106413322358235,0.02516431924882634,-0.06172797262617624,-0.025236593059937085
original9,0.21991779615542897,0.009083517206897318,0.010407374368123778,-0.025794360715251874,-0.008776272143085073,0.03243065659173039,-0.04403763900769886,-0.011862112889101106
original10,0.21991779615542897,0.009083517206897318,-0.002467152055315225,-0.03206459607815759,-0.01757956532878835,0.042138364779874204,-0.05166809238665526,-0.009532798489853889
db_hatespeech_gender_debias_0.0,-0.7469921038818288,-0.12550131095245512,0.003998685363715948,-0.036554555847419956,-0.016735080870050267,0.03970688479890938,-0.11017964071856279,-0.04346917450365717
db_hatespeech_gender_debias_0.1,-0.7768932105153602,-0.12873632414318087,0.006968417096113733,-0.03170679559119982,-0.013590313812700705,0.038174077578051024,-0.06744225834046202,-0.023240491165019472
db_hatespeech_gender_debias_0.2,-0.5290905716916736,-0.0944498288896733,0.0061966569410737415,-0.02768590353349798,-0.011089486692449024,0.003288271830471312,-0.08133447390932425,-0.04268292682926833
db_hatespeech_gender_debias_0.3,-0.47725462463645524,-0.08784444496603543,0.0017110928734442865,-0.03359833840944604,-0.01620905798345118,0.059929494712103515,-0.057382378100941045,-0.004700596541569069
db_hatespeech_gender_debias_0.4,-0.35942713385791625,-0.0694551170152733,0.006008175176838937,-0.02635069683826541,-0.011001395391251556,0.03777327022763122,-0.05057313943541486,-0.012499999999999956
db_hatespeech_gender_debias_0.5,-0.28645130046298795,-0.06291719453966949,-1.5344483658141783e-05,-0.03995584218380477,-0.02003047045530204,0.022819989801121876,-0.08106073567151406,-0.0347964823643373
db_hatespeech_gender_debias_0.6,-0.08316846138107879,-0.040440075633371875,-0.0015538936903854994,-0.024840953320126702,-0.013348420289598817,0.029957805907173007,-0.05765611633875101,-0.018461538461538418
db_hatespeech_gender_debias_0.7,0.03486734697471726,-0.019788617835481137,0.013431757641428566,-0.023926816710155507,-0.006555366388562023,0.04644080700418729,-0.03206159110350726,0.0007811326423314835
db_hatespeech_gender_debias_0.8,0.049826260084949926,-0.016747843439159638,-0.01178974249840381,-0.03588695249980367,-0.024331645953267644,0.01849737382964156,-0.05628742514970053,-0.02437106918238985
db_hatespeech_gender_debias_0.9,0.050811520980330066,-0.016026740760197944,0.008719032072210586,-0.029306914276239326,-0.011207335710646804,0.049708253529909596,-0.07452523524379817,-0.020614954577218958
db_hatespeech_gender_overbias_0.0,1.1320600580339923,0.18499391074587962,0.007501903158088963,-0.02866330974177278,-0.011085898895839552,0.009543005223972667,-0.08732249786141999,-0.043393685470596965
db_hatespeech_gender_overbias_0.1,0.9399667679329408,0.1308831405942858,-0.004948611424500982,-0.03393214008325407,-0.019539788016914694,0.031868352398153665,-0.08704875962360992,-0.0323379407199349
db_hatespeech_gender_overbias_0.2,0.793740582718513,0.10907984068550865,0.002780332125277285,-0.025508556667742988,-0.011304792723741408,0.047115070284406646,-0.04568006843455941,-0.003393749533825652
db_hatespeech_gender_overbias_0.3,0.6970284790677825,0.08652737915127635,0.0031746031746031633,-0.025039488956182465,-0.011647166841853518,0.030876718503493383,-0.05628742514970053,-0.018749999999999933
db_hatespeech_gender_overbias_0.4,0.7494435938596896,0.089876660918221,-0.000325250512096531,-0.03895443716238034,-0.020179412424310317,0.040433673469387754,-0.07452523524379817,-0.02330617129181134
db_hatespeech_gender_overbias_0.5,0.6079356038499175,0.07611253077766988,0.004946727549467234,-0.0424669907233679,-0.01920244461420928,0.017299578059071785,-0.0696321642429426,-0.03076923076923077
db_hatespeech_gender_overbias_0.6,0.5270787638195458,0.0706704537846019,0.01114948349973155,-0.01603557060450822,-0.0034926124600036523,0.0443963930806035,-0.050025662959794714,-0.00979870270696559
db_hatespeech_gender_overbias_0.7,0.36284067040212126,0.03209828305852752,0.006153846153846176,-0.043555664156245455,-0.019467740810961143,0.021513771416178717,-0.09792985457656123,-0.04536042944785268
db_hatespeech_gender_overbias_0.8,0.3526375780509681,0.03344753150263746,0.00562243142554919,-0.035688416863747796,-0.015156453179266838,0.03021771027481468,-0.09875106928999144,-0.039013996546783614
db_hatespeech_gender_overbias_0.9,0.10609909233760295,-0.010770277948026097,0.008530704864558203,-0.03248566616341886,-0.012802158924486995,0.040972128111306794,-0.09112061591103504,-0.034302234724175706
