name,weat_es,precision_diff,recall_diff,f1_diff
original1,1.2641294149213678,-0.018952185497589036,0.03666445517617356,0.008511762076950924
original2,1.2641294149213678,-0.016716120882787622,0.040128266448603456,0.013808635578583806
original3,1.2641294149213678,-0.022511069348523094,0.026450454898451436,0.0034805890227576075
original4,1.2641294149213678,-0.011973238576425516,0.02596444129007036,0.007723245044785165
original5,1.2641294149213678,-0.013691099476439761,0.040472847525445,0.015067827075104123
original6,1.2641294149213678,-0.021413923802721113,0.02171889384331327,0.0013743929254789178
original7,1.2641294149213678,-0.010913835157978391,0.03660273916241075,0.014013433250668506
original8,1.2641294149213678,-0.018521376755672225,0.021922042388615393,0.0022225153333772507
original9,1.2641294149213678,-0.006836371423217913,0.035286130868807164,0.014646634211851639
original10,1.2641294149213678,-0.01134784755474405,0.028487083352619624,0.009670713888706106
db_weat8_debias_0.0,0.31352468012424095,-0.011206101751739195,0.03525527286192587,0.012990639747821664
db_weat8_debias_0.1,0.3317715745089551,-0.012733245284296868,0.033563225484599224,0.011494717006528044
db_weat8_debias_0.2,0.6619144714278814,-0.010461133514434673,0.041851171832811396,0.016868912227240407
db_weat8_debias_0.3,0.5726456299100159,-0.010780885780885763,0.04136515822443021,0.0159165860305297
db_weat8_debias_0.4,0.7962813743088117,-0.01700557908021838,0.03708875277079193,0.011901226420282796
db_weat8_debias_0.5,0.8312387795627466,-0.008185133984707549,0.03935938777714343,0.01573116547990916
db_weat8_debias_0.6,0.9555532708569948,-0.012837108953613785,0.034080097099861595,0.011478259015204828
db_weat8_debias_0.7,1.1169448391977388,0.0014056961251680544,0.03801192147665844,0.019617701732636883
db_weat8_debias_0.8,1.1144122307705462,-0.013640211555966064,0.04474925297908339,0.016010759146580233
db_weat8_debias_0.9,0.8101488784005197,-0.011062394603709946,0.03815335400819797,0.014136262138989997
db_weat8_overbias_0.0,1.4253543247025378,-0.008749748189615825,0.03359408349148063,0.012741962533696749
db_weat8_overbias_0.1,1.4302641711690645,-0.010954941216704817,0.03559985393876741,0.013329898898834402
db_weat8_overbias_0.2,1.2602438428212985,-0.012711345258515139,0.034080097099861595,0.011617489349297516
db_weat8_overbias_0.3,1.3962149233077479,-0.01540381125226864,0.03829478653973739,0.012762346490961751
db_weat8_overbias_0.4,1.2116260132119996,-0.017376705621018784,0.03321864440775768,0.009247928962044627
db_weat8_overbias_0.5,1.3091466336679436,-0.017849810532737376,0.0468964559579097,0.016661410412867395
db_weat8_overbias_0.6,1.5220537170564674,-0.01067738693467335,0.04440467190224184,0.01743073761779934
db_weat8_overbias_0.7,1.3273031163706137,-0.016515374482602763,0.04523526658746446,0.015427960284774778
db_weat8_overbias_0.8,1.3982633480321047,-0.016566071657891368,0.0434017866785984,0.014009098179053048
db_weat8_overbias_0.9,0.9925546857438285,-0.005177855611341209,0.038497935085039514,0.017042637337334687
ar_weat8_debias_reg1e-1_sim0.0_ant0.0,-0.7018945167160973,-0.005635088182257997,0.029520826583144255,0.012530995277289736
ar_weat8_debias_reg1e-1_sim0.0_ant0.5,-1.0595300726185313,-0.010470623857774641,0.028345650821080093,0.009423517937633519
ar_weat8_debias_reg1e-1_sim0.0_ant1.0,-0.9333376777012994,-0.012198290598290584,0.0247892655280062,0.006866347474297485
ar_weat8_debias_reg1e-1_sim0.5_ant0.0,-0.4473746148296518,-0.0147929992742738,0.02865937389104034,0.007910014513788144
ar_weat8_debias_reg1e-1_sim0.5_ant0.5,-1.1512121485214988,-0.012866078455739172,0.032732630799376716,0.01074744698192498
ar_weat8_debias_reg1e-1_sim0.5_ant1.0,-1.0644435149017526,-0.008046344228599844,0.033563225484599224,0.013749824860157522
ar_weat8_debias_reg1e-1_sim1.0_ant0.0,-1.1405901504468574,-0.011708529565672365,0.0312128739604709,0.010376598270037563
ar_weat8_debias_reg1e-1_sim1.0_ant0.5,-1.1602613650374414,-0.006038647342995196,0.04119286768600949,0.018321671736493905
ar_weat8_debias_reg1e-1_sim1.0_ant1.0,-1.1830057838849215,-0.012936381357434024,0.03494154979196562,0.011518823162422587
ar_weat8_debias_reg5e-2_sim0.0_ant0.0,-1.6678753508200481,-0.009286653958708091,0.04153744876285115,0.01667165739441978
ar_weat8_debias_reg5e-2_sim0.0_ant0.5,-1.7973986630611545,-0.007188171830280088,0.033938664568322285,0.01363597303272479
ar_weat8_debias_reg5e-2_sim0.0_ant1.0,-1.8176321889909932,-0.012245473585664302,0.035052124316623745,0.013241791649074575
ar_weat8_debias_reg5e-2_sim0.5_ant0.0,-1.8041977130366174,-0.017124234643491998,0.035427563400346584,0.010373488657529517
ar_weat8_debias_reg5e-2_sim0.5_ant0.5,-1.8450679343745326,-0.006660781214482436,0.024130961381204297,0.008946446446446377
ar_weat8_debias_reg5e-2_sim0.5_ant1.0,-1.830355252428657,-0.009853181076672102,0.028831664429461168,0.010444093264038945
ar_weat8_debias_reg5e-2_sim1.0_ant0.0,-1.6465139832908005,-0.014980173300044086,0.02748419812897618,0.007046434160130954
ar_weat8_debias_reg5e-2_sim1.0_ant0.5,-1.8329311338334133,-0.009086667090030032,0.04219575290965283,0.017467958320849575
ar_weat8_debias_reg5e-2_sim1.0_ant1.0,-1.8225624849316162,-0.0150094855484878,0.024444684451164544,0.005522702510246447
ar_weat8_debias_reg1e-2_sim0.0_ant0.0,-1.9447084375371881,-0.015453881723046958,0.0376364823929356,0.012057794255223353
ar_weat8_debias_reg1e-2_sim0.0_ant0.5,-1.9650739768865046,-0.011597244197214196,0.02934853604472354,0.009660055503594611
ar_weat8_debias_reg1e-2_sim0.0_ant1.0,-1.9831652031413973,-0.008902125443478792,0.029693117121565193,0.010910783061553908
ar_weat8_debias_reg1e-2_sim0.5_ant0.0,-1.963443903526588,-0.010707236128584485,0.04001769192394533,0.015326413813173012
ar_weat8_debias_reg1e-2_sim0.5_ant0.5,-1.9828025722765052,-0.0236200916370487,0.03321864440775768,0.006285401059747842
ar_weat8_debias_reg1e-2_sim0.5_ant1.0,-1.9849438022283183,-0.012866078455739172,0.032732630799376716,0.01074744698192498
ar_weat8_debias_reg1e-2_sim1.0_ant0.0,-1.9702488616704614,-0.013172038519162155,0.0305237118067877,0.009548167092924276
ar_weat8_debias_reg1e-2_sim1.0_ant0.5,-1.9830554043928643,-0.0023327615780446287,0.03138516449889173,0.015077258501621893
ar_weat8_debias_reg1e-2_sim1.0_ant1.0,-1.9722054510543519,-0.008564485538169686,0.035944435015609066,0.014207761708510014
ar_weat8_overbias_reg1e-1_sim0.0_ant0.0,1.7562173496910372,-0.015390425833254673,0.039845401385524504,0.012887802399316528
ar_weat8_overbias_reg1e-1_sim0.0_ant0.5,1.7986902501657511,-0.008218866816117498,0.034080097099861595,0.013723337411069125
ar_weat8_overbias_reg1e-1_sim0.0_ant1.0,1.788588539992125,-0.009588141476686407,0.039673110847103676,0.015552391388507836
ar_weat8_overbias_reg1e-1_sim0.5_ant0.0,1.7379573825208567,-0.013257479282675289,0.03038227927524828,0.009016884016883941
ar_weat8_overbias_reg1e-1_sim0.5_ant0.5,1.8273383356699031,-0.013600272232304866,0.04015912445548475,0.014598451519947098
ar_weat8_overbias_reg1e-1_sim0.5_ant1.0,1.8121760253558952,-0.013881079173971078,0.039156239231841306,0.013558848475777041
ar_weat8_overbias_reg1e-1_sim1.0_ant0.0,1.8011583378201252,-0.01143143969753646,0.032074326652574814,0.010846221203921314
ar_weat8_overbias_reg1e-1_sim1.0_ant0.5,1.7507422577476544,-0.017177009988537773,0.0362890160924505,0.010350881373974219
ar_weat8_overbias_reg1e-1_sim1.0_ant1.0,1.8231685008971175,-0.01190930585154315,0.030554569813669108,0.009643589179707535
ar_weat8_overbias_reg5e-2_sim0.0_ant0.0,1.8753815185217553,-0.011083743842364546,0.0347384012466635,0.013013758387219188
ar_weat8_overbias_reg5e-2_sim0.0_ant0.5,1.888401953070203,-0.017299908604256453,0.03611672555402978,0.010158242551338126
ar_weat8_overbias_reg5e-2_sim0.0_ant1.0,1.9056647427772755,-0.011101293579513949,0.03680588770771287,0.013408268081165242
ar_weat8_overbias_reg5e-2_sim0.5_ant0.0,1.891286041138487,-0.017395155367944337,0.03238804972253506,0.00857075974439303
ar_weat8_overbias_reg5e-2_sim0.5_ant0.5,1.9216751813890511,-0.015221215366602037,0.04067599607074712,0.013790562834353093
ar_weat8_overbias_reg5e-2_sim0.5_ant1.0,1.9051650073228341,-0.010211560339546621,0.029693117121565193,0.010355792311556589
ar_weat8_overbias_reg5e-2_sim1.0_ant0.0,1.8950337399465045,-0.01577626700702417,0.034221529631401126,0.010705789056304482
ar_weat8_overbias_reg5e-2_sim1.0_ant0.5,1.8973613075603202,-0.011350576255894085,0.03376637402990135,0.011695599176159144
ar_weat8_overbias_reg5e-2_sim1.0_ant1.0,1.9256975734315387,-0.015634771732332742,0.03577214447718824,0.011069785337544213
ar_weat8_overbias_reg1e-2_sim0.0_ant0.0,1.9825576661550384,-0.01160435479787325,0.028831664429461168,0.009524660699922194
ar_weat8_overbias_reg1e-2_sim0.0_ant0.5,1.9769621884233395,-0.01302332969976494,0.03138516449889173,0.009881685059422884
ar_weat8_overbias_reg1e-2_sim0.0_ant1.0,1.9809777328759424,-0.012328158175929582,0.039156239231841306,0.014330703418888757
ar_weat8_overbias_reg1e-2_sim0.5_ant0.0,1.9720883348103182,-0.014510396934146352,0.03290492133779743,0.009904661016949201
ar_weat8_overbias_reg1e-2_sim0.5_ant0.5,1.9882453935017883,-0.015380762062761955,0.04119286768600949,0.013558278698389326
ar_weat8_overbias_reg1e-2_sim0.5_ant1.0,1.9875638146619936,-0.017214742882365908,0.03494154979196562,0.009617814255796775
ar_weat8_overbias_reg1e-2_sim1.0_ant0.0,1.9725470242034535,-0.008127785353311157,0.03815335400819797,0.01553133873172785
ar_weat8_overbias_reg1e-2_sim1.0_ant0.5,1.9756581753306588,-0.010671688637790333,0.039845401385524504,0.01533930178040499
ar_weat8_overbias_reg1e-2_sim1.0_ant1.0,1.9848956583862973,-0.011362152278960425,0.033249502414638976,0.011573547687670271
