name,weat_es_weat_6,weat_es_weat_7,weat_es_weat_8,rnsb_weat_6,rnsb_weat_7,rnsb_weat_8,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
original9,0.5503729920083467,1.2441107830506621,1.4218627902352061,0.1470474858362258,0.19689221574385202,0.19823797065509052,0.07442480002766616,0.05910409072173772,0.06614832862884779,0.024085858730015564,0.004386329142533785,0.012686801478382748,0.6278448203288591
original10,0.5503729920083467,1.2441107830506621,1.4218627902352061,0.1470474858362258,0.19689221574385202,0.19823797065509052,0.033641874313990794,0.03191531348136101,0.03276689337127381,0.02285272667985261,0.04159813675185564,0.034265765600491216,0.6278537044477249
db_weat_gender_debias_0.0,-1.4258106080756863,-0.7087946808670142,-1.402004701176213,-0.3057393077543182,-0.12317491122685764,-0.17267199686061918,0.09903893677854414,0.08325676020464456,0.09065176277380504,0.0589484820593269,0.05599484932720866,0.05756902579257295,0.629604742958772
db_weat_gender_debias_0.1,-0.9829328640887873,-0.106376912112777,-1.164068842261716,-0.1606862055448744,-0.012686215891469732,-0.11650340204440442,0.11420858918574828,0.10772882979410336,0.11087946110096925,0.1005927168500852,0.07855905428579324,0.08874129174116407,0.6286181362396898
db_weat_gender_debias_0.2,-0.7307957831021786,0.36368500874724524,-0.3346290443550505,-0.09183510988009295,0.06702977774441728,-0.013578341108901937,0.12900755992084845,0.12716379606859485,0.12809732975027732,0.0182791228075323,0.033883841096537415,0.027032247100193585,0.6310297286577666
db_weat_gender_debias_0.3,-0.2668683105467602,0.5684141283679905,0.14976507015080268,0.009458192094192852,0.08319846620935527,0.0455285977709754,0.15201950197824743,0.13516059341007747,0.1431544576697008,0.04677068954549257,0.050577066415169014,0.04927131945300822,0.6338447212947292
db_weat_gender_debias_0.4,-0.13047244517590778,0.22930807050904786,0.5684942113996199,0.02740170693126054,0.021986588304175603,0.06224951109237864,0.1273091108471618,0.1259527211797593,0.12675987444454795,0.05304959835414402,0.04591898292373475,0.04923182047779184,0.6284807936046393
db_weat_gender_debias_0.5,-0.25598311616466424,0.4636848589697475,0.4305480108160883,0.007279844021337911,0.06201399176787381,0.05834375004716415,0.09613173051310708,0.09036196024070131,0.09321628801078585,0.05876088089484688,0.05244219681331508,0.05549663986323239,0.6263824243972484
db_weat_gender_debias_0.6,0.2088731361505572,0.8123620271243395,0.7619438696433378,0.10636005535030046,0.11649454933749581,0.09977999296808342,0.14660165152470472,0.1351926825804537,0.14071029350262343,0.0745752249579068,0.08550273880404013,0.08083351544120043,0.6313335123559507
db_weat_gender_debias_0.7,0.48125955446617724,0.9197880236546967,0.9022920331797861,0.1484063143038253,0.14389708668239737,0.12416415793364477,0.19287268380062772,0.18737187667141258,0.1901328487333077,0.05557196215556226,0.06704129667324721,0.0625233177022605,0.6320910812500428
db_weat_gender_debias_0.8,0.5653481324599997,1.0533866367884235,1.176651785266824,0.14789859317128856,0.15024362203448272,0.15458496391782486,0.13088374643271405,0.11481018951349209,0.1224083317786101,0.0933845690314582,0.0684446483540424,0.07938505264381879,0.6308143369308795
db_weat_gender_debias_0.9,0.5505240212929485,0.6608541504063371,1.2897166694817594,0.14120593047545688,0.09115547001976121,0.16195189264431153,0.09504248891039913,0.08459642403785861,0.08955873301120665,0.043337315037599855,0.03717428759017383,0.040025590460884275,0.6341355883633647
db_weat_gender_overbias_0.0,1.8019351709236986,1.4859657263175656,1.7441231946373432,0.5307450663619452,0.363368303107812,0.3643473234023757,0.19539865106350185,0.17974206867395753,0.187299856957459,0.0801504020033148,0.07367296777421628,0.07685650399097554,0.6269729056979553
db_weat_gender_overbias_0.1,1.7018905836272875,1.5997559512225614,1.7945429731827636,0.4663027980145872,0.3923050811298868,0.3205624283654764,0.07400392385334231,0.07526415147674181,0.07471215449094104,0.07041102970070434,0.07543045383112879,0.07393896955907109,0.6286742017117979
db_weat_gender_overbias_0.2,1.6670001836111938,1.4704450837847947,1.7432805334544124,0.48172619597072686,0.37118593321697985,0.3135830657237434,0.11258838364738522,0.10857955906330519,0.11061489536515834,0.06714806322591205,0.02392126915178222,0.040001404179764166,0.6238003750201618
db_weat_gender_overbias_0.3,1.6683273785092982,1.288399571663658,1.700362954118839,0.4530755710585429,0.2790992067293382,0.30413343334527,0.14509916352639496,0.13162040880694137,0.13807251475301685,0.09399777044086255,0.0738679070054018,0.08325097534301773,0.6290667791968622
db_weat_gender_overbias_0.4,1.5661272269891826,1.4569859217818577,1.6881306840541852,0.3463664093129362,0.2602225244849162,0.3007543472123908,0.17634235406588727,0.15756224935146512,0.16643241109836537,0.06493866784665969,0.055895698946055505,0.060121078239370185,0.6332166839927318
db_weat_gender_overbias_0.5,1.4614750681261595,1.3258200962500615,1.448005909595762,0.3460108077584859,0.23655188717051123,0.19628709443682882,0.10252304944092783,0.10766380432273115,0.10529832014034324,0.03637791353446662,0.03098510358164419,0.03347901056101488,0.6271681977605269
db_weat_gender_overbias_0.6,1.3433432012564386,1.3596203075004862,1.6173765471710404,0.3290853603753864,0.27733770901343346,0.2282547894541937,0.1037112110843944,0.09672775099761688,0.10009979524086143,0.048456871338311114,0.0534022006372481,0.05126336007297916,0.63208955175309
db_weat_gender_overbias_0.7,1.3976900137606239,1.0419436275514418,1.5102313373292435,0.34477345816498695,0.1646843665886379,0.20877043297517278,0.11466936003056671,0.11145223274351257,0.11306211446178027,0.09611486215347576,0.08856609440614827,0.09218504936572458,0.6247638861383683
db_weat_gender_overbias_0.8,1.2152039759568345,1.230423043339869,1.6346717490764153,0.29271410613477095,0.2390173553995421,0.228815369971949,0.07127595353550731,0.07202846761025294,0.07191996088615848,0.05636116188064788,0.05885784965702734,0.05814874592872221,0.6237061671489973
db_weat_gender_overbias_0.9,0.9742527703594027,1.1541583077492632,1.3280643425928083,0.2845088864857244,0.20563598533225957,0.17717505209562567,0.15369552157323352,0.14063424779369055,0.14687090240815714,0.11709026030694558,0.10058747612163277,0.10824799149322617,0.6277227565762195
ar_weat_gender_debias_reg1e-1_sim0.0_ant0.0,-0.14758420542279752,0.5538883470780711,0.5574368917452773,-0.00019603850494437358,0.00951297983127547,0.00803777464620048,0.17794022917183971,0.15906113081035683,0.16796917975000086,0.05245331384018448,0.03941133858151846,0.04523539048630876,0.6282706452510791
