name,weat_es,precision_diff,recall_diff,f1_diff
original1,1.2641294149213678,0.015791100739942943,-0.04004854993082663,-0.011694278156758942
original2,1.2641294149213678,0.021057573905263083,-0.04672416541948898,-0.015186031987101778
original3,1.2641294149213678,0.019566982731854088,-0.023896954829020878,-0.0037887433240517687
original4,1.2641294149213678,0.011768503844573508,-0.030554569813669108,-0.009782220869218206
original5,1.2641294149213678,0.014306870757123669,-0.0362890160924505,-0.011618775561833217
original6,1.2641294149213678,0.017820548880941867,-0.02814250227577797,-0.006425893569017349
original7,1.2641294149213678,0.006602853105443729,-0.03373551602302005,-0.01444270015698601
original8,1.2641294149213678,0.021091857747996712,-0.02717047505901593,-0.0034811205830582725
original9,1.2641294149213678,0.010206130547585457,-0.03241890772941647,-0.011393605820850472
original10,1.2641294149213678,0.011180271303406597,-0.018679380165501747,-0.004437149353532233
db_weat8_debias_0.0,0.31352468012424095,0.00931521056797402,-0.04084828660916784,-0.01651374810575834
db_weat8_debias_0.1,0.3317715745089551,0.013881977452511296,-0.03795020546289585,-0.013416854517079968
db_weat8_debias_0.2,0.6619144714278814,0.014112938059723024,-0.03456611070824278,-0.011609391088049037
db_weat8_debias_0.3,0.5726456299100159,0.014152373706466381,-0.035944435015609066,-0.011767460921491835
db_weat8_debias_0.4,0.7962813743088117,0.020299069822206528,-0.035568995931886116,-0.009528166198912835
db_weat8_debias_0.5,0.8312387795627466,0.020206243032329985,-0.03798106346977714,-0.00948633403704513
db_weat8_debias_0.6,0.9555532708569948,0.012861123414084408,-0.033563225484599224,-0.011355099061969964
db_weat8_debias_0.7,1.1169448391977388,0.007428500366729818,-0.035144698337267744,-0.01371647509578533
db_weat8_debias_0.8,1.1144122307705462,0.021409844836811187,-0.04119286768600949,-0.010508163293396655
db_weat8_debias_0.9,0.8101488784005197,0.014092140921409202,-0.03711961077767312,-0.012511288883188754
db_weat8_overbias_0.0,1.4253543247025378,0.00714931122489415,-0.035286130868807164,-0.014354066985646008
db_weat8_overbias_0.1,1.4302641711690645,0.007142375850684002,-0.043715509748558645,-0.019407804203502632
db_weat8_overbias_0.2,1.2602438428212985,0.017118876469854993,-0.037291901316094056,-0.011099004130451284
db_weat8_overbias_0.3,1.3962149233077479,0.020689853076216735,-0.03135430649201032,-0.006761556419916714
db_weat8_overbias_0.4,1.2116260132119996,0.017390268596271796,-0.03339093494617851,-0.00924587996411208
db_weat8_overbias_0.5,1.3091466336679436,0.01684728351298559,-0.03929767176338084,-0.012888336055869587
db_weat8_overbias_0.6,1.5220537170564674,0.004342087542087536,-0.046269009817989204,-0.021548914562717125
db_weat8_overbias_0.7,1.3273031163706137,0.01543465921495002,-0.04067599607074712,-0.013453446138223968
db_weat8_overbias_0.8,1.3982633480321047,0.012281879194630863,-0.04153744876285115,-0.015204990935183238
db_weat8_overbias_0.9,0.9925546857438285,0.012025057364775327,-0.04457696244066267,-0.01692811863099275
ar_weat8_debias_reg1e-1_sim0.0_ant0.0,-0.7018945167160973,0.00993205832395827,-0.0312128739604709,-0.011359938781960621
ar_weat8_debias_reg1e-1_sim0.0_ant0.5,-1.0595300726185313,0.012297526728766162,-0.025133846604847854,-0.0068718475498136256
ar_weat8_debias_reg1e-1_sim0.0_ant1.0,-0.9333376777012994,0.015432911837021446,-0.02157746131177385,-0.0036737809937930077
ar_weat8_debias_reg1e-1_sim0.5_ant0.0,-0.4473746148296518,0.014704112617718201,-0.030351421268366874,-0.008779079275796242
ar_weat8_debias_reg1e-1_sim0.5_ant0.5,-1.1512121485214988,0.016404742211193812,-0.027828779205817722,-0.006483344511513556
ar_weat8_debias_reg1e-1_sim0.5_ant1.0,-1.0644435149017526,0.011219208456950347,-0.033563225484599224,-0.012198484267721077
