name,weat_es,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
original_lc1,0.7865319801348887,0.09798627914742197,0.09187561655311915,0.09483151493392616,0.1013958494729178,0.07712864003547781,0.08802314639199826,0.6279116628969927
original_lc2,0.7865319801348887,0.15883522403434625,0.14246170030483746,0.15021350683669832,0.07547518887040972,0.07040569309958866,0.07294340847956315,0.6324546590774404
original_lc3,0.7865319801348887,0.08384147952379983,0.08048842772784981,0.0821693663201386,0.09677246756814861,0.0802676983936218,0.08792379581573628,0.6316270194120553
original_lc4,0.7865319801348887,0.12894129214472672,0.1327498557890715,0.13095626350192668,0.01023823397707202,0.020970632609194073,0.016098446567920033,0.6314123376215989
original_lc5,0.7865319801348887,0.11822966085276243,0.10468396103071043,0.11104594157305958,0.11122984129792268,0.08603794841917944,0.09721112696008549,0.6307682723482215
original_lc6,0.7865319801348887,0.07407266811368085,0.07640979170906936,0.07534056204891149,0.0693127208334321,0.07464517236345036,0.07271072810149448,0.6285815833077439
original_lc7,0.7865319801348887,0.1563609721048742,0.14774309318297962,0.1519459294252712,0.06669444729590601,0.0481436755644401,0.0563121982020689,0.6336328922793321
original_lc8,0.7865319801348887,0.14026380619781587,0.11608940731102757,0.12726946186517374,0.06732940810712684,0.06884475815366564,0.06841659732659666,0.6339392267136295
original_lc9,0.7865319801348887,0.058515678213465705,0.049135899432597,0.05346882298693134,0.030008814855637,0.0437059191586725,0.03849697792479834,0.6307265649289161
original_lc10,0.7865319801348887,0.16549680182148352,0.16406754440165194,0.1648066298596762,0.02715624750895973,0.02984816145704816,0.028592164733646563,0.6303658956795166
db_winobias_debias_0.1,0.10212424338969911,0.06301158448774014,0.05210939096388034,0.05725900354482805,0.03575854531823064,0.04036829374760387,0.038443735080460506,0.6310209853651177
db_winobias_debias_0.2,0.20001869416378087,0.039012770492726556,0.028965395122515947,0.03351799439687975,0.004032079632621088,0.02702212632446166,0.018344070333044193,0.6264653707599894
db_winobias_debias_0.3,0.4002446371383241,0.0730147302891927,0.06946357166945405,0.07127774507866225,-0.03354727026160109,-0.014152697958030092,-0.022009411927836453,0.6350129627858024
db_winobias_debias_0.4,0.5545361203004703,0.06397023770750598,0.06669797176118131,0.06536495646525187,0.026970275369020746,0.016154950846176575,0.02125961996454817,0.631087165550743
db_winobias_debias_0.5,0.6062356300512401,0.029564510738174787,0.02939832490271088,0.029496776068414055,0.03740651503284653,0.026447462371597785,0.031464853284614014,0.6324078424686814
db_winobias_debias_0.6,0.6235423699274495,0.10636153050267605,0.09688734862883464,0.10141345502503363,0.02373312292393337,0.03098759662592232,0.028012309600072838,0.631136160878086
db_winobias_debias_0.7,0.6652757571130445,0.09812883798543448,0.09971621987875856,0.09912928929871412,0.027126003014684152,0.041303715729361756,0.03587414149594015,0.6297214655674613
db_winobias_debias_0.8,0.6563009339622473,0.18355815316476154,0.16246694924455513,0.1724124419363957,0.11130830397576608,0.09485552542785392,0.10242464448221633,0.6318872510400096
db_winobias_debias_0.9,0.7061811192262052,0.048152865686564184,0.052386595027204,0.05032056531376217,0.007882785437910322,-0.002113087965451621,0.0025467447998193116,0.6342372279168988
