name,weat_es_winobias,rnsb_winobias,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
original1,0.7865319801348887,0.06399589337323686,0.09798627914742197,0.09187561655311915,0.09483151493392616,0.1013958494729178,0.07712864003547781,0.08802314639199826,0.6279116628969927
original2,0.7865319801348887,0.06399589337323686,0.15883522403434625,0.14246170030483746,0.15021350683669832,0.07547518887040972,0.07040569309958866,0.07294340847956315,0.6324546590774404
original3,0.7865319801348887,0.06399589337323686,0.08384147952379983,0.08048842772784981,0.0821693663201386,0.09677246756814861,0.0802676983936218,0.08792379581573628,0.6316270194120553
original4,0.7865319801348887,0.06399589337323686,0.12894129214472672,0.1327498557890715,0.13095626350192668,0.01023823397707202,0.020970632609194073,0.016098446567920033,0.6314123376215989
original5,0.7865319801348887,0.06399589337323686,0.11822966085276243,0.10468396103071043,0.11104594157305958,0.11122984129792268,0.08603794841917944,0.09721112696008549,0.6307682723482215
original6,0.7865319801348887,0.06399589337323686,0.07407266811368085,0.07640979170906936,0.07534056204891149,0.0693127208334321,0.07464517236345036,0.07271072810149448,0.6285815833077439
original7,0.7865319801348887,0.06399589337323686,0.1563609721048742,0.14774309318297962,0.1519459294252712,0.06669444729590601,0.0481436755644401,0.0563121982020689,0.6336328922793321
original8,0.7865319801348887,0.06399589337323686,0.14026380619781587,0.11608940731102757,0.12726946186517374,0.06732940810712684,0.06884475815366564,0.06841659732659666,0.6339392267136295
original9,0.7865319801348887,0.06399589337323686,0.058515678213465705,0.049135899432597,0.05346882298693134,0.030008814855637,0.0437059191586725,0.03849697792479834,0.6307265649289161
original10,0.7865319801348887,0.06399589337323686,0.16549680182148352,0.16406754440165194,0.1648066298596762,0.02715624750895973,0.02984816145704816,0.028592164733646563,0.6303658956795166
db_winobias_debias_0.0,-0.6451413067137209,-0.04307486197461258,0.03034073409575544,0.031094071367549048,0.030772237331547103,0.0133130969407107,-0.0036978887130310056,0.004095118175548418,0.631662758369736
db_winobias_debias_0.1,-0.09857063518403922,-0.013257532822498197,0.15011084231542604,0.1186503102589273,0.13301783171551873,0.02918825421981508,0.024495727525168265,0.026675142402594387,0.6342812734439512
db_winobias_debias_0.2,0.03030266065309691,7.124380495304727e-05,0.0617455150545404,0.0483188815683655,0.054514923789814485,0.03308850646422701,0.043619384084449875,0.03988861467542637,0.6341692599536176
db_winobias_debias_0.3,0.15553726337434104,0.007805220156670012,0.08020117098566792,0.07650937185895912,0.07832095536106543,0.002594512867064913,-0.0061004155346496836,-0.0022842857956070217,0.6306576425520952
db_winobias_debias_0.4,-0.1397489202289745,-0.009473111708338422,0.0997286235830398,0.09084448292394631,0.0951428975713956,0.028630213531277704,0.006067069059497721,0.01596718179382517,0.6283165107548766
db_winobias_debias_0.5,0.40550073762644506,0.031775099688997666,0.08214460675194901,0.07211661346723275,0.07686721183730949,-0.030179200253023453,-0.003880557300560361,-0.015302667815128346,0.6345639829609098
db_winobias_debias_0.6,0.3290929207164203,0.02049717496654191,0.08045928950890513,0.0886212161560459,0.0848357754248329,0.05602227339951027,0.05656445279143474,0.056664096343988835,0.6295787789045573
db_winobias_debias_0.7,0.5979779714292918,0.038212647606666594,0.12527810234417502,0.12208124159233558,0.12369505758412724,0.05380011260010542,0.04316579777554119,0.04798212644473243,0.6332254835985976
db_winobias_debias_0.8,0.9978317745908637,0.07108986112628624,0.07332791102139735,0.0643538234869504,0.06857617182772835,0.033543635871433164,0.026744302902464656,0.029806478518675128,0.6266404461756876
db_winobias_debias_0.9,0.9282547542415001,0.06747149293122696,0.0962493735354788,0.09155659888374035,0.09385354225612863,0.016011988350016493,0.020340596726880378,0.01873190209184239,0.6240652678897524
db_winobias_overbias_0.0,1.3961012011730451,0.12423232328538765,0.2340157367211403,0.22126831356707538,0.22747796902097683,0.10707336910286402,0.10659862754429028,0.10730953946991384,0.628789832471917
db_winobias_overbias_0.1,1.4399989964728306,0.14857180760128075,0.1606439427729336,0.14907256453309115,0.1546862575711193,0.1029814497053968,0.0942211499654716,0.09841497380023456,0.6269870965432799
db_winobias_overbias_0.2,1.2141773884762255,0.10190602044124986,0.28076926259996027,0.25779223613330954,0.26879041328098024,0.061386004347953715,0.0672496494153485,0.06564929243085649,0.6271509462464472
db_winobias_overbias_0.3,1.170692128160937,0.08997544319503965,0.26145340908523784,0.23775062941729624,0.2490432754119309,0.14895420886005917,0.14154920362983425,0.14559353010569598,0.6272224344259232
db_winobias_overbias_0.4,1.1162176005583444,0.08459498437259279,0.1304917922087564,0.12354269032545606,0.1269272352268338,0.055045019333682776,0.0611478238679658,0.05825631558068345,0.6247869336502393
db_winobias_overbias_0.5,1.254776447944893,0.1054692369937622,0.16190872733886819,0.13698392799269987,0.14858784996909247,0.08091906169002372,0.07647041833875323,0.07872683530345082,0.6359404721526088
db_winobias_overbias_0.6,1.102049751469556,0.08599828422495932,0.031086562284334707,0.01969701816193048,0.024888240226469738,0.023595328620567346,0.01740825902130705,0.020214324806208994,0.6278065814625345
db_winobias_overbias_0.7,1.2324971373425784,0.09770549643304483,0.12501346707962613,0.11391385798635556,0.11921923867770712,0.07675105351738509,0.05021577284948664,0.06170274303420331,0.6330527692915932
db_winobias_overbias_0.8,1.0918741505094796,0.08363575716608751,0.03922363924900041,0.039964016125006774,0.0397385974653085,0.07579007979704411,0.0638424914983583,0.06940405920446935,0.6323375038875726
db_winobias_overbias_0.9,0.8766259362844702,0.056512071510766274,0.17118210626791386,0.14680385297645354,0.15808061954880115,0.09050904875070154,0.06628053687498658,0.07705840484005311,0.6321900915771578
