name,weat_es_hatespeech_race,rnsb_hatespeech_race,precision_diff,recall_diff,f1_diff
original1,1.7334485037186687,0.463946976350182,-0.05752840909090917,-0.12886329382431205,-0.0927298980079837
original2,1.7334485037186687,0.463946976350182,-0.030085586610296366,-0.1697647445558802,-0.1045039222023092
original3,1.7334485037186687,0.463946976350182,-0.026838085422226987,-0.16386836942072036,-0.09903394363030749
original4,1.7334485037186687,0.463946976350182,-0.0281719384224014,-0.16115070283054944,-0.09729521195795177
original5,1.7334485037186687,0.463946976350182,-0.044279561938825984,-0.1444415500106474,-0.09555032863922674
original6,1.7334485037186687,0.463946976350182,-0.03107015757432019,-0.15914630742608338,-0.09817351598173518
original7,1.7334485037186687,0.463946976350182,-0.04362676591334069,-0.1453295209505321,-0.09666493864318271
original8,1.7334485037186687,0.463946976350182,-0.04206128032628653,-0.14259738219137585,-0.09356905493399914
original9,1.7334485037186687,0.463946976350182,-0.04050926462744375,-0.14108814171147865,-0.09160812237654203
original10,1.7334485037186687,0.463946976350182,-0.04551867835036649,-0.1389379908908034,-0.09401324933688904
db_hatespeech_race_debias_0.0,1.1543013658280914,0.18341539612658578,-0.046428345810038185,-0.14270902463783397,-0.09549129592519079
db_hatespeech_race_debias_0.1,1.3631449037131615,0.2627085798142189,-0.04944914595411032,-0.13250304432411864,-0.09107733485687663
db_hatespeech_race_debias_0.2,1.509126319999308,0.30982647538672936,-0.03154509020833973,-0.15350216152181062,-0.09522423674340486
db_hatespeech_race_debias_0.3,1.5810353971485744,0.3216631650661036,-0.04771338674155201,-0.1344102694511119,-0.09142317076477746
db_hatespeech_race_debias_0.4,1.622258438110029,0.3740029464208758,-0.0443171770385723,-0.1433933514855681,-0.09461398911968444
db_hatespeech_race_debias_0.5,1.6987874919326171,0.3884687627919616,-0.028474590939339905,-0.15142023664063742,-0.09230837239589962
db_hatespeech_race_debias_0.6,1.7032367032190123,0.4374847062577709,-0.033110725815431175,-0.15884549305646,-0.09811407515004611
db_hatespeech_race_debias_0.7,1.6686518045609926,0.43409941029398835,-0.04902194606435406,-0.1424082102682106,-0.09599651582116042
db_hatespeech_race_debias_0.8,1.693751387621269,0.45941316138494487,-0.051497939077108645,-0.13434721214339018,-0.09314272195748408
db_hatespeech_race_debias_0.9,1.766531305743571,0.4768269296097539,-0.043718948302200134,-0.14431543539520397,-0.09464440905783233
db_hatespeech_race_overbias_0.0,1.831233013590874,0.5838147091331283,-0.04139311360298337,-0.1454266912280049,-0.09520443744842433
db_hatespeech_race_overbias_0.1,1.8415696557823817,0.579435365952931,-0.031879189555453324,-0.16173785940081087,-0.09973778196724581
db_hatespeech_race_overbias_0.2,1.8082395408823237,0.5546080673461262,-0.036680811684074444,-0.1513427071639304,-0.09514133033328631
db_hatespeech_race_overbias_0.3,1.8090000323352862,0.5366381862557666,-0.03417256433200466,-0.15084755223936142,-0.09504264651140215
db_hatespeech_race_overbias_0.4,1.8191849481728075,0.5419809294996351,-0.03818854878925548,-0.1497362964065605,-0.09543124038002226
db_hatespeech_race_overbias_0.5,1.8046498433548646,0.5416915118043456,-0.03434763243358041,-0.1587824357487383,-0.09857590749884904
db_hatespeech_race_overbias_0.6,1.8276488988410324,0.5232837820199395,-0.04024526198439238,-0.14415520781000946,-0.09358485517425918
db_hatespeech_race_overbias_0.7,1.7642281633311843,0.5034283949372593,-0.03270663250104289,-0.16051496112155172,-0.09900133199841421
db_hatespeech_race_overbias_0.8,1.7631582831971977,0.48813032021879926,-0.03449225777190634,-0.157127439852632,-0.09878588353329465
db_hatespeech_race_overbias_0.9,1.7957602356422153,0.4866034998742702,-0.03885146302322051,-0.15186680642647,-0.09676763066975613
ar_hatespeech_race_debias_reg1e-1_sim0.0_ant0.0,1.6175859085629019,0.12437767297531095,-0.04645039826212882,-0.14611101807573912,-0.09745092215075268
ar_hatespeech_race_debias_reg1e-1_sim0.0_ant1.0,1.59324947199368,0.1211546613319558,-0.03988178014940058,-0.14564997612092123,-0.09406792234216921
ar_hatespeech_race_debias_reg1e-1_sim1.0_ant0.0,1.5808201461600402,0.11916164834722909,-0.04061684225247064,-0.14956159665238056,-0.09652362172613904
ar_hatespeech_race_debias_reg1e-1_sim1.0_ant1.0,1.5657410397178229,0.11622508412666636,-0.045111852675812636,-0.1419471683133927,-0.09405790429603267
ar_hatespeech_race_debias_reg5e-2_sim0.0_ant0.0,1.394734844762672,0.08314180903668929,-0.038984212516543826,-0.1492266693130062,-0.09594776117674875
ar_hatespeech_race_debias_reg5e-2_sim0.0_ant1.0,1.258418278189206,0.07276951046572448,-0.033415760590994714,-0.16709566310444557,-0.10327606803377731
ar_hatespeech_race_debias_reg5e-2_sim1.0_ant0.0,1.2862735886832037,0.07557350517788004,-0.03972379111703228,-0.1555696142339984,-0.10005321024365399
ar_hatespeech_race_debias_reg5e-2_sim1.0_ant1.0,1.1098670403634645,0.06365669284156987,-0.040666017309104796,-0.14628571782991895,-0.09477547617701909
ar_hatespeech_race_debias_reg1e-2_sim0.0_ant0.0,-1.7434990469207,-0.1067124248490312,-0.034585659949825986,-0.15275477736635468,-0.09607345711248527
ar_hatespeech_race_debias_reg1e-2_sim0.0_ant1.0,-1.8973096625899735,-0.20433950974554554,-0.05701678047116232,-0.13647772216329979,-0.09682355209127214
