name,weat_es_weat_6,weat_es_weat_7,weat_es_weat_8,rnsb_weat_6,rnsb_weat_7,rnsb_weat_8,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
original1,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.09798627914742197,0.09187561655311915,0.09483151493392616,0.1013958494729178,0.07712864003547781,0.08802314639199826,0.6279116628969927
original2,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.15883522403434625,0.14246170030483746,0.15021350683669832,0.07547518887040972,0.07040569309958866,0.07294340847956315,0.6324546590774404
original3,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.08384147952379983,0.08048842772784981,0.0821693663201386,0.09677246756814861,0.0802676983936218,0.08792379581573628,0.6316270194120553
original4,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.12894129214472672,0.1327498557890715,0.13095626350192668,0.01023823397707202,0.020970632609194073,0.016098446567920033,0.6314123376215989
original5,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.11822966085276243,0.10468396103071043,0.11104594157305958,0.11122984129792268,0.08603794841917944,0.09721112696008549,0.6307682723482215
original6,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.07407266811368085,0.07640979170906936,0.07534056204891149,0.0693127208334321,0.07464517236345036,0.07271072810149448,0.6285815833077439
original7,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.1563609721048742,0.14774309318297962,0.1519459294252712,0.06669444729590601,0.0481436755644401,0.0563121982020689,0.6336328922793321
original8,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.14026380619781587,0.11608940731102757,0.12726946186517374,0.06732940810712684,0.06884475815366564,0.06841659732659666,0.6339392267136295
original9,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.058515678213465705,0.049135899432597,0.05346882298693134,0.030008814855637,0.0437059191586725,0.03849697792479834,0.6307265649289161
original10,0.998297917744946,1.2493367016048622,0.778895554756316,0.12198398711691612,0.10245184191014567,0.04801456101196133,0.16549680182148352,0.16406754440165194,0.1648066298596762,0.02715624750895973,0.02984816145704816,0.028592164733646563,0.6303658956795166
