name,weat_es_hatespeech_race,rnsb_hatespeech_race,precision_diff,recall_diff,f1_diff,precision_diff_strict,recall_diff_strict,f1_diff_strict
db_hatespeech_race_overbias_0.3,1.8272237748441011,0.5389298134131166,-0.031319219952358424,-0.1565692276203412,-0.0973522789487905,-0.14222958972233735,-0.2641434262948208,-0.20719632938903654
db_hatespeech_race_overbias_0.4,1.78138946942553,0.5094693441575553,-0.049926287623138,-0.13959337340056688,-0.09537743792908537,-0.18595088520845227,-0.24994567185802252,-0.21869027074170988
db_hatespeech_race_overbias_0.5,1.7262463313228098,0.49032215756551023,-0.04403940708604481,-0.14530057661256146,-0.09582162103885561,-0.16664067981601305,-0.2419775443679827,-0.2056402796677771
db_hatespeech_race_overbias_0.6,1.7454489399835174,0.4914828304987309,-0.045076752980948154,-0.13313878603311646,-0.08940592746557141,-0.18786328760753324,-0.2510684534588917,-0.22050014974543275
db_hatespeech_race_overbias_0.7,1.7332674773383312,0.4748959037851538,-0.025332034214634702,-0.162388073278794,-0.09805649929940052,-0.11879493324204038,-0.26526620789569,-0.19801980198019797
db_hatespeech_race_overbias_0.8,1.7179857400985201,0.4831613548987942,-0.03536820617430525,-0.15123106471747227,-0.09465807474184218,-0.1690196078431372,-0.25505251720391164,-0.21366459627329193
db_hatespeech_race_overbias_0.9,1.6378907321336489,0.477039249153626,-0.044393853973196284,-0.14299536683847203,-0.09455348825706666,-0.21690684890803746,-0.25505251720391164,-0.23619361936193628
ar_hatespeech_race_debias_reg1e-1_sim0.0_ant0.0,1.4901800385173907,0.1120535317885643,-0.03726184881240735,-0.147717428833109,-0.09373799110010528,-0.19305004430404127,-0.27721839913074975,-0.23631376646639546
ar_hatespeech_race_debias_reg1e-1_sim0.0_ant1.0,1.4120547802702028,0.10212130444828164,-0.04797602616702279,-0.1414230690508531,-0.09501049632628578,-0.20128700128700128,-0.2658819268381022,-0.23374373005015958
ar_hatespeech_race_debias_reg1e-1_sim1.0_ant0.0,1.4399232284250958,0.10589740693797567,-0.04844066067439445,-0.135555638253664,-0.09239798354041207,-0.18294117647058816,-0.2681274900398407,-0.22714097496706198
ar_hatespeech_race_debias_reg1e-1_sim1.0_ant1.0,1.3708807669128291,0.09716556134802579,-0.03990975261693497,-0.14725638687829112,-0.09486332316728796,-0.16519607843137263,-0.28120246287576967,-0.22656279980045269
ar_hatespeech_race_debias_reg5e-2_sim0.0_ant0.0,1.0981213462330717,0.06581858611512721,-0.047033330846751986,-0.14857645543502307,-0.09850345243859793,-0.18272180159192386,-0.2601593625498009,-0.22271135005526121
ar_hatespeech_race_debias_reg5e-2_sim0.0_ant1.0,0.9395364774277694,0.05586233673366314,-0.04383861540159262,-0.14108814171147865,-0.09319179165587665,-0.16506238859180034,-0.25903658094893156,-0.21406282504680674
ar_hatespeech_race_debias_reg5e-2_sim1.0_ant0.0,0.9305881195378742,0.05408181710771026,-0.0392496392496392,-0.15111942227101416,-0.09667049965864061,-0.17285986049461,-0.27149583484244844,-0.22604878048780497
