name,weat_es,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
original_lc1,1.2493367016048622,0.09798627914742197,0.09187561655311915,0.09483151493392616,0.1013958494729178,0.07712864003547781,0.08802314639199826,0.6279116628969927
original_lc2,1.2493367016048622,0.15883522403434625,0.14246170030483746,0.15021350683669832,0.07547518887040972,0.07040569309958866,0.07294340847956315,0.6324546590774404
original_lc3,1.2493367016048622,0.08384147952379983,0.08048842772784981,0.0821693663201386,0.09677246756814861,0.0802676983936218,0.08792379581573628,0.6316270194120553
original_lc4,1.2493367016048622,0.12894129214472672,0.1327498557890715,0.13095626350192668,0.01023823397707202,0.020970632609194073,0.016098446567920033,0.6314123376215989
original_lc5,1.2493367016048622,0.11822966085276243,0.10468396103071043,0.11104594157305958,0.11122984129792268,0.08603794841917944,0.09721112696008549,0.6307682723482215
original_lc6,1.2493367016048622,0.07407266811368085,0.07640979170906936,0.07534056204891149,0.0693127208334321,0.07464517236345036,0.07271072810149448,0.6285815833077439
original_lc7,1.2493367016048622,0.1563609721048742,0.14774309318297962,0.1519459294252712,0.06669444729590601,0.0481436755644401,0.0563121982020689,0.6336328922793321
original_lc8,1.2493367016048622,0.14026380619781587,0.11608940731102757,0.12726946186517374,0.06732940810712684,0.06884475815366564,0.06841659732659666,0.6339392267136295
original_lc9,1.2493367016048622,0.058515678213465705,0.049135899432597,0.05346882298693134,0.030008814855637,0.0437059191586725,0.03849697792479834,0.6307265649289161
original_lc10,1.2493367016048622,0.16549680182148352,0.16406754440165194,0.1648066298596762,0.02715624750895973,0.02984816145704816,0.028592164733646563,0.6303658956795166
db_weat7_debias_0.0,-1.527640194091164,0.1728662114703634,0.16549780937035846,0.1691525583146103,0.12659153834740378,0.10562540379617291,0.1151769275984813,0.633880660747344
db_weat7_debias_0.1,-0.5498935143822986,0.052494579938017205,0.05392280716713116,0.05324689480148681,0.04426932159954022,0.04187282041343221,0.04308971272052997,0.6296415245467193
db_weat7_debias_0.2,-0.2250696400467809,0.1573150176520347,0.14375568306166875,0.15024179341167987,0.06523431322841156,0.040670583104292835,0.051441089247891036,0.6303805570722716
db_weat7_debias_0.3,0.3549956530085291,0.12127366097954351,0.11303275996903461,0.11701252138395135,0.04122645980825956,0.028477610074921333,0.03427564720777798,0.6295640689417441
db_weat7_debias_0.4,0.592481444956109,0.17565914808600724,0.16131104794030504,0.16820000800792534,0.09377144788773895,0.08333330696961772,0.08825709279403693,0.6291699133169124
db_weat7_debias_0.5,0.6362433797242492,0.18085120182394698,0.17128581646125512,0.17595340489095246,0.09595586287095736,0.08198134445819472,0.08844309862704769,0.628705883087892
db_weat7_debias_0.6,0.6300229286870056,0.15857062516199072,0.12919100052097987,0.1424951886162742,0.045702532171919885,0.06322385287441468,0.056439396511733575,0.6314963416614704
db_weat7_debias_0.7,1.0628515382157797,0.08102398938731015,0.08610033134671946,0.08372758990953877,0.1042973998160841,0.09213772874837467,0.09784521087595754,0.6310114968676207
db_weat7_debias_0.8,1.1101746524941973,0.10305944282728874,0.0956590863711606,0.09923958869714722,0.035047859780036994,0.030406503270233753,0.032598660027513215,0.6311097086965968
