name,weat_es_winobias,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
original1,0.3116134837573728,0.14473493458273434,0.1269221438210087,0.135284128296703,0.06588973678675014,0.054846289459195674,0.05993466320041585,0.6316943188305512
original2,0.3116134837573728,0.10556100114085365,0.09743477142857959,0.10133469686537488,0.11269202122647703,0.08414678421633925,0.09652261657286598,0.6280713660271764
original3,0.3116134837573728,0.21967514681525413,0.20264378473872807,0.21082041964013748,0.0966052336258807,0.0821027099067293,0.0887655672149742,0.6326581014490591
original4,0.3116134837573728,0.14255048585778418,0.130798765054441,0.13646899873562135,0.057138000129745015,0.04896725332160712,0.05281905676188314,0.6306458342147278
original5,0.3116134837573728,0.10480928652230714,0.08664150753289046,0.09506336840067986,0.07469585817348501,0.06291439201987792,0.06830236352731567,0.625709912512581
original6,0.3116134837573728,0.10913327506839032,0.09571146559020649,0.10210652570257728,0.0612486046172126,0.03290355725000493,0.04564533866693454,0.6292670297156485
original7,0.3116134837573728,0.14624820461203147,0.12801385856726433,0.1365782172660689,0.09130140716752366,0.06872981683693113,0.07880496125578595,0.6297093759785932
original8,0.3116134837573728,0.16328539908204354,0.1419440042182561,0.15187378399943785,0.06807834940067048,0.0470597915710933,0.056072724204770275,0.6297127596133922
original9,0.3116134837573728,0.07442480002766616,0.05910409072173772,0.06614832862884779,0.024085858730015564,0.004386329142533785,0.012686801478382748,0.6278448203288591
original10,0.3116134837573728,0.033641874313990794,0.03191531348136101,0.03276689337127381,0.02285272667985261,0.04159813675185564,0.034265765600491216,0.6278537044477249
db_winobias_debias_0.0,-0.5502180498315623,0.06453579292051703,0.05876224102488292,0.06151681554364341,0.058660248255469005,0.03800292601328836,0.047026953987889364,0.63607040198104
db_winobias_debias_0.1,-0.3375118563703265,0.06939212463782607,0.059998564145881006,0.06437899924076451,0.0429527318741203,0.06331980524788372,0.05551100778963447,0.6248583963065127
db_winobias_debias_0.2,-0.35659577435717527,0.03961232625143807,0.02774990774216779,0.03318747652259191,-0.03185026081944475,0.008542801251334886,-0.007828838955627693,0.6274396674596824
db_winobias_debias_0.3,0.09263466196556834,0.12745065278835632,0.12184627105292745,0.12458622348123094,0.10712008233124048,0.07498361953472343,0.09001863693913348,0.6278363435279948
db_winobias_debias_0.4,-0.24498534407894368,0.10870639599221621,0.09637909239302433,0.10218531813192921,0.06291717102518568,0.07188738023994101,0.06900390753765318,0.6259450309988145
db_winobias_debias_0.5,-0.24014037019719406,0.06541556257850134,0.05769740588497052,0.06134235218473416,0.04484586693223502,0.048274811641912274,0.04745964686368165,0.626547261946191
db_winobias_debias_0.6,0.02523126509942611,0.12389651233281396,0.11356508710739877,0.11851434272770645,0.0008492971322163756,0.0033074376731603294,0.002202040463433197,0.6297010366549024
db_winobias_debias_0.7,0.25804854412810885,0.04292991047627015,0.04001689567350042,0.041422605720489836,0.02060955328014169,0.02033968613355308,0.020525665462214238,0.6347385692731505
db_winobias_debias_0.8,0.30287243291363414,0.12159816205720908,0.10399828228775593,0.11211954295209914,0.054231354702969914,0.04791825174282227,0.05088817364044029,0.628201114934357
db_winobias_debias_0.9,0.6432233638482404,0.08271885085424757,0.066554648210995,0.07424356123813958,0.07706641200531428,0.06637345425530194,0.07133213946105865,0.6279635071325801
db_winobias_overbias_0.0,1.0325717870762579,0.3084955419482608,0.282231984708765,0.2947875975957162,0.14128955324724268,0.13504205520303014,0.13907868692540648,0.6328213922269035
db_winobias_overbias_0.1,0.9084879117471564,0.23349538966570976,0.22181364834873601,0.22755427973362075,0.08462811885252508,0.08271342021865624,0.08391748919803443,0.6324126441517784
db_winobias_overbias_0.2,1.0210243828475387,0.14618068939607198,0.13241996838488074,0.13900976206608995,0.030623311907094886,0.054143704879625276,0.044843153105277644,0.6299215655895966
db_winobias_overbias_0.3,0.7269822422740492,0.11240282306293792,0.10370585787897435,0.10790073415100487,0.10918035775934021,0.11133629586979465,0.11091485579882387,0.6269740170315977
db_winobias_overbias_0.4,1.1056156502280459,0.0839675872063631,0.07676148214073919,0.08028300922748166,0.11673691000470166,0.1110385666468321,0.113834927476822,0.631334369179426
